year,name,species,Plot, d30 , Height (m) , Height (cm) , Crown Dia (m) , Crown Dia (cm) , Crown Circum. (cm)  , LOG AGB AVI , Aboveground biomass (Kg) , Aboveground biomass (t/ha) , Belowground biomass (Kg) , Belowground biomass (t/ha) , Total biomass per ha (t/ha) , AGC (Kg) , BGC (Kg) , Total C (Kg) , Total C (t/ha) ," Btree l,j,p,i "
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.10 , 1.08 , 108.00 , 0.97 , 97 , 304 , 0.17 , 1.48 , 0.06 , 1.36 , 0.05 , 0.11 , 0.71 , 0.53 , 1.24 , 0.05 , 2.84 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.50 , 0.80 , 80.00 , 0.98 , 98 , 308 , 0.18 , 1.51 , 0.06 , 1.40 , 0.06 , 0.12 , 0.73 , 0.55 , 1.27 , 0.05 , 2.91 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.80 , 1.30 , 130.00 , 1.31 , 131 , 411 , 0.45 , 2.82 , 0.11 , 2.60 , 0.10 , 0.22 , 1.35 , 1.02 , 2.37 , 0.09 , 5.42 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 3.00 , 1.10 , 110.00 , 1.54 , 154 , 484 , 0.60 , 3.99 , 0.16 , 3.69 , 0.15 , 0.31 , 1.92 , 1.44 , 3.35 , 0.13 , 7.68 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.30 , 0.70 , 70.00 , 1.01 , 101 , 317 , 0.21 , 1.62 , 0.06 , 1.49 , 0.06 , 0.12 , 0.78 , 0.58 , 1.36 , 0.05 , 3.11 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.10 , 0.54 , 54.00 , 1.05 , 105 , 328 , 0.24 , 1.74 , 0.07 , 1.61 , 0.06 , 0.13 , 0.84 , 0.63 , 1.46 , 0.06 , 3.35 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 2.20 , 0.94 , 94.00 , 1.01 , 101 , 318 , 0.21 , 1.63 , 0.07 , 1.50 , 0.06 , 0.13 , 0.78 , 0.59 , 1.37 , 0.05 , 3.13 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.70 , 0.80 , 80.00 , 1.05 , 105 , 329 , 0.24 , 1.75 , 0.07 , 1.62 , 0.06 , 0.13 , 0.84 , 0.63 , 1.47 , 0.06 , 3.37 
2015,2015 Sample Plot # 01,Avi,2015_2015 Sample Plot # 01_Avi, 1.10 , 0.62 , 62.00 , 0.93 , 93 , 292 , 0.13 , 1.36 , 0.05 , 1.25 , 0.05 , 0.10 , 0.65 , 0.49 , 1.14 , 0.05 , 2.61 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
