Plantation year,Plot,height (cm),canopy width 1 (cm),canopy width 2 (cm),crown area (m2),CD Chatting (m),Chatting AGB       (kg),Chatting AGB (Mg/ha),Comley & McGuinness planted BGB            (kg),Comley & McGuinness planted BGB    (Mg/ha),Total tree (kg),Total tree (Mg/ha),Chatting AGC       (kg C),Chatting AGC (Mg C/ha),Comley & McGuinness planted BGC           (kg C),Comley & McGuinness planted BGC    (Mg C/ha),Total tree (kg C),Total tree (Mg C/ha),plot size (m2)
2017,8,112,59,57,0.264,0.58,0.494,0.032,0.456,0.03,0.95,0.062,0.237,0.015,0.178,0.012,0.415,0.027,153.938
2017,2_new,280,90,101,0.716,0.96,1.436,0.571,1.326,0.527,2.762,1.099,0.689,0.274,0.517,0.206,1.206,0.48,25.133
2017,2_new,275,114,119,1.066,1.17,2.198,0.874,2.028,0.807,4.226,1.681,1.055,0.42,0.791,0.315,1.846,0.734,25.133
2017,2_new,274,95,102,0.762,0.99,1.534,0.611,1.416,0.564,2.951,1.174,0.737,0.293,0.552,0.22,1.289,0.513,25.133
2017,2_new,264,133,104,1.103,1.19,2.279,0.907,2.104,0.837,4.383,1.744,1.094,0.435,0.82,0.326,1.914,0.762,25.133
2017,2_new,264,133,104,1.103,1.19,2.279,0.907,2.104,0.837,4.383,1.744,1.094,0.435,0.82,0.326,1.914,0.762,25.133
2017,2_new,260,159,120,1.528,1.4,3.231,1.286,2.983,1.187,6.214,2.472,1.551,0.617,1.163,0.463,2.714,1.08,25.133
2017,1_new,256,102,74,0.608,0.88,1.206,0.48,1.113,0.443,2.318,0.922,0.579,0.23,0.434,0.173,1.013,0.403,25.133
2017,1_new,255,203,162,2.616,1.83,5.743,2.285,5.3,2.109,11.043,4.394,2.756,1.097,2.067,0.822,4.824,1.919,25.133
2017,1_new,253,200,207,3.253,2.04,7.25,2.885,6.692,2.663,13.941,5.547,3.48,1.385,2.61,1.038,6.09,2.423,25.133
2017,1_new,251,150,120,1.431,1.35,3.012,1.199,2.78,1.106,5.793,2.305,1.446,0.575,1.084,0.431,2.53,1.007,25.133
2017,2_new,251,170,90,1.327,1.3,2.779,1.106,2.565,1.02,5.343,2.126,1.334,0.531,1,0.398,2.334,0.929,25.133
2017,1_new,245,130,113,1.159,1.22,2.404,0.957,2.219,0.883,4.624,1.84,1.154,0.459,0.865,0.344,2.02,0.804,25.133
2017,1_new,243,80,70,0.442,0.75,0.856,0.341,0.79,0.314,1.647,0.655,0.411,0.164,0.308,0.123,0.719,0.286,25.133
2017,1_new,242,203,119,2.036,1.61,4.391,1.747,4.053,1.613,8.445,3.36,2.108,0.839,1.581,0.629,3.689,1.468,25.133
2017,1_new,241,70,170,1.131,1.2,2.341,0.932,2.161,0.86,4.502,1.791,1.124,0.447,0.843,0.335,1.967,0.782,25.133
2017,1_new,235,152,111,1.358,1.32,2.848,1.133,2.628,1.046,5.476,2.179,1.367,0.544,1.025,0.408,2.392,0.952,25.133
2017,1_new,232,203,119,2.036,1.61,4.391,1.747,4.053,1.613,8.445,3.36,2.108,0.839,1.581,0.629,3.689,1.468,25.133
2017,2_new,230,172,121,1.686,1.47,3.588,1.428,3.312,1.318,6.9,2.746,1.722,0.685,1.292,0.514,3.014,1.199,25.133
2017,1_new,230,120,107,1.012,1.14,2.078,0.827,1.918,0.763,3.996,1.59,0.998,0.397,0.748,0.298,1.746,0.695,25.133
