site,year,plot_name,full_plot_name,height_cm,crown_diameter_cm,total_tree_c_kg,total_tree_c_Mg_ha
A,2017,Sample_Plot#08,siteA_2017_plot_08,112,57.99999999999999,0.415,0.027
A,2010,Sample_Plot#05,siteA_2010_plot_05,217,335,17.639,1.146
A,2017,Sample_Plot#19,siteA_2017_plot_19,211,63,0.495,0.032
A,2017,Sample_Plot#19,siteA_2017_plot_19,209,102,1.374,0.089
A,2017,Sample_Plot#17,siteA_2017_plot_17,207,52,0.324,0.021
A,2017,Sample_Plot#19,siteA_2017_plot_19,201,44,0.23,0.015
A,2010,Sample_Plot#02,siteA_2010_plot_02,200,339,18.151,1.179
A,2010,Sample_Plot#05,siteA_2010_plot_05,199,160,3.64,0.236
A,2017,Sample_Plot#19,siteA_2017_plot_19,198,140,2.735,0.178
A,2017,Sample_Plot#16,siteA_2017_plot_16,197,80,0.826,0.054
A,2017,Sample_Plot#19,siteA_2017_plot_19,197,41,0.192,0.012
A,2017,Sample_Plot#19,siteA_2017_plot_19,195,133,2.451,0.159
A,2017,Sample_Plot#19,siteA_2017_plot_19,195,70,0.621,0.04
A,2017,Sample_Plot#19,siteA_2017_plot_19,194,53,0.335,0.022
A,2017,Sample_Plot#29,siteA_2017_plot_29,192,104,1.448,0.094
A,2017,Sample_Plot#19,siteA_2017_plot_19,191,43,0.213,0.014
A,2010,Sample_Plot#03,siteA_2010_plot_03,190,254.99999999999997,9.869,0.641
A,2017,Sample_Plot#29,siteA_2017_plot_29,190,122,2.037,0.132
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,90,1.05,0.068
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,75,0.709,0.046
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,74,0.689,0.045
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,64,0.504,0.033
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,57.99999999999999,0.415,0.027
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,57.99999999999999,0.407,0.026
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,32,0.112,0.007
A,2017,Sample_Plot#19,siteA_2017_plot_19,188,42,0.203,0.013
A,2017,Sample_Plot#17,siteA_2017_plot_17,186,97,1.234,0.08
A,2010,Sample_Plot#05,siteA_2010_plot_05,185,206.99999999999997,6.283,0.408
A,2010,Sample_Plot#05,siteA_2010_plot_05,185,204.99999999999997,6.186,0.402
A,2017,Sample_Plot#27,siteA_2017_plot_27,185,125,2.128,0.138
A,2017,Sample_Plot#19,siteA_2017_plot_19,185,61,0.454,0.03
